43.33	358.68
34.92	32.88
35.17	33.90
49.17	20.83
48.97	20.98
55.67	12.25
45.50	3.25
43.62	1.43
42.58	9.08
42.00	9.00
41.50	9.17
51.00	8.28
50.00	8.27
51.97	7.62
50.50	9.00
53.83	12.17
50.93	11.58
51.50	14.25
51.33	12.33
52.52	13.42
35.33	23.92
47.50	19.05
48.02	20.10
64.15	338.03
46.60	11.52
46.67	11.88
45.25	12.08
46.05	11.12
44.45	11.33
45.25	10.00
45.70	9.83
39.90	8.60
39.43	9.57
39.08	8.72
39.02	9.00
40.90	9.10
40.52	8.72
40.58	9.00
40.60	8.57
40.80	8.57
40.38	9.63
40.03	9.18
40.38	9.70
40.02	9.23
40.20	15.42
37.50	14.83
37.83	13.63
44.20	8.33
45.55	11.28
45.27	12.30
45.60	12.88
45.75	12.25
45.47	11.17
45.50	11.25
43.00	12.57
40.13	18.12
41.73	13.28
41.55	13.43
42.42	12.08
41.87	12.50
46.75	16.25
46.07	14.50
35.92	14.42
52.12	5.27
59.25	7.50
41.15	351.38
44.42	26.12
39.25	357.00
43.32	358.02
62.20	17.32
46.62	9.20
36.80	34.63
59.40	357.62
59.33	357.00
44.95	34.10
55.75	37.57
